Date,Open,High,Low,Close
2016-10-14,6977.74,7046.38,6977.74,7052.20
2016-10-13,7024.01,7024.01,6930.04,6977.74
2016-10-12,7070.88,7079.42,7015.76,7024.01
2016-10-11,7097.50,7129.83,7061.36,7070.88
2016-10-10,7044.39,7104.49,7024.08,7097.50
2016-10-07,6999.96,7079.25,6999.96,7044.39
2016-10-06,7033.25,7049.34,6999.96,6999.96
2016-10-05,7074.34,7076.71,7024.13,7033.25
2016-10-04,6983.52,7121.93,6983.52,7074.34
2016-10-03,6899.33,6996.43,6898.09,6983.52
2016-09-30,6919.42,6919.42,6809.51,6899.33
2016-09-29,6849.38,6941.09,6849.38,6919.42
2016-09-28,6807.67,6878.21,6807.67,6849.38
2016-09-27,6818.04,6865.45,6768.86,6807.67
2016-09-26,6909.43,6909.63,6806.47,6818.04
2016-09-23,6911.4,6920.23,6882.62,6909.43
2016-09-22,6834.77,6937.33,6834.77,6911.4
2016-09-21,6830.79,6879.8099999999995,6830.47,6834.77
2016-09-20,6813.55,6869.1,6798.02,6830.79
2016-09-19,6710.28,6813.95,6710.28,6813.55
2016-09-16,6730.3,6746.29,6692.73,6710.28
2016-09-15,6673.3099999999995,6736.84,6654.82,6730.3
2016-09-14,6665.63,6720.29,6665.63,6673.3099999999995
2016-09-13,6700.9,6724.74,6665.63,6665.63
2016-09-12,6776.95,6776.95,6654.48,6700.9
2016-09-09,6858.7,6862.38,6762.3,6776.95
2016-09-08,6846.58,6889.64,6819.82,6858.7
2016-09-07,6826.05,6856.12,6814.87,6846.58
2016-09-06,6879.42,6887.92,6818.96,6826.05
2016-09-05,6894.6,6910.66,6867.08,6879.42
2016-09-02,6745.97,6928.25,6745.97,6894.6
2016-09-01,6781.51,6826.22,6723.21,6745.97
2016-08-31,6820.79,6832.89,6779.54,6781.51
2016-08-30,6838.05,6851.83,6808.07,6820.79
2016-08-26,6816.9,6857.29,6798.82,6838.05
2016-08-25,6835.78,6836.22,6779.15,6816.9
2016-08-24,6868.51,6868.51,6825.22,6835.78
2016-08-23,6828.54,6885.39,6828.54,6868.51
