Date,Open,High,Low,Close
2016-10-14,16751.04,16866.56,16727.78,16856.37
2016-10-13,16923.82,16974.25,16739.73,16774.24
2016-10-12,16850.73,16951.54,16839.41,16840.00
2016-10-11,16936.31,17074.46,16931.12,17024.76
2016-10-07,16883.12,16895.13,16820.21,16860.09
2016-10-06,16913.60,16971.28,16888.77,16899.10
2016-10-05,16787.89,16844.35,16728.19,16819.24
2016-10-04,16661.51,16747.20,16637.82,16735.65
2016-10-03,16566.03,16652.16,16554.83,16598.67
2016-09-30,16474.45,16497.55,16407.78,16449.84
2016-09-29,16606.30,16756.43,16584.14,16693.71
2016-09-28,16504.99,16515.84,16385.03,16465.40
2016-09-27,16390.91,16683.93,16285.41,16683.93
2016-09-26,16707.45,16707.45,16514.93,16544.56
2016-09-23,16759.839844,16808.589844,16725.529297,16754.019531
2016-09-21,16471.849609,16823.630859,16399.650391,16807.619141
2016-09-20,16403.220703,16591.699219,16403.220703,16492.150391
2016-09-16,16458.740234,16532.839844,16415.859375,16519.289062
2016-09-15,16512.419922,16528.019531,16359.780272999998,16405.009766
2016-09-14,16632.060547,16706.609375,16585.800781,16614.240234
2016-09-13,16764.650391,16787.060547,16658.400391,16729.039062
2016-09-12,16748.359375,16802.0,16601.539062,16672.920039
2016-09-09,16994.369141,17029.779297,16902.089844,16965.759766
2016-09-08,16984.0,17001.839844,16836.650391,16958.769531
2016-09-07,16937.380859,17024.199219,16903.199219,17012.439453
2016-09-06,17035.029297,17097.589844,17022.640625,17081.980469
2016-09-05,17131.519531,17156.359375,17009.210938,17037.630859
2016-09-02,16903.779297,16946.490234,16848.119141,16925.679688
2016-09-01,16885.160156,16941.179688,16864.560547,16926.839844
2016-08-31,16857.830078,16917.859375,16836.960938,16887.400391
2016-08-30,16690.980469,16752.160156,16677.849609,16725.359375
2016-08-29,16631.060547,16764.640625,16616.650391,16737.490234
2016-08-26,16485.550781,16490.529297,16320.429688,16360.709961000002
2016-08-25,16580.150391,16628.789062,16520.839844,16555.949219
2016-08-24,16550.210938,16648.070312,16544.390625,16597.300781
2016-08-23,16549.820312,16663.640625,16452.009766,16497.359375
2016-08-22,16599.259766,16631.230469,16540.939453,16598.189453
2016-08-19,16558.380859,16613.039062,16452.619141,16545.820312
2016-08-18,16649.910156,16714.609375,16481.410156,16486.009766
2016-08-17,16596.259766,16772.109375,16596.259766,16745.640625
2016-08-16,16878.660156,16887.570312,16596.509766,16596.509766
2016-08-15,16866.890625,16932.109375,16844.580078,16869.560547
2016-08-12,16877.179688,16943.669922,16818.429688,16919.919922
2016-08-10,16699.080078,16822.859375,16657.589844,16735.119141
2016-08-09,16632.410156,16779.589844,16630.560547,16764.970703
2016-08-08,16462.289062,16652.039062,16455.570312,16650.570312
2016-08-05,16278.990234,16355.980469,16230.700195,16254.450195
2016-08-04,16168.339844,16270.120116999999,15921.040038999998,16254.889647999998
2016-08-03,16227.280272999998,16275.339844,16056.669922,16083.110352000002
2016-08-02,16469.679688,16541.880859,16391.449219,16391.449219
2016-08-01,16415.310547,16677.490234,16319.150391,16635.769531
2016-07-29,16359.679688,16679.189453,16174.349609,16569.269531
2016-07-28,16596.150391,16616.279297,16450.279297,16476.839844
2016-07-27,16526.0,16821.429688,16526.060547,16664.820312
2016-07-26,16535.810547,16535.810547,16323.099609,16383.040038999998
2016-07-25,16655.810547,16778.650391,16612.330078,16620.289062
2016-07-22,16612.900391,16691.810547,16566.980469,16627.25
2016-07-21,16855.179688,16938.960938,16740.0,16810.220703
2016-07-20,16646.919922,16692.839844,16554.029297,16681.890625
2016-07-19,16612.089844,16726.710938,16514.660156,16723.310547
2016-07-15,16396.119141,16607.320312,16396.119141,16497.849609
2016-07-14,16242.200195,16398.730469,16229.259766,16385.890625
2016-07-13,16343.0,16444.25,16196.44043,16231.429688
2016-07-12,15961.299805,16237.620116999999,15956.910156,16095.650391
2016-07-11,15375.94043,15816.669922,15375.94043,15708.820312
2016-07-08,15326.839844,15399.700195,15106.519531,15106.980469
2016-07-07,15346.80957,15418.900391,15241.910156,15276.240234
2016-07-06,15434.459961000002,15434.459961000002,15167.980469,15378.990234
2016-07-05,15682.160156,15702.040038999998,15602.730469,15669.330078
2016-07-04,15554.040038999998,15805.30957,15553.919922,15775.799805
2016-07-01,15698.019531,15765.0,15635.570312,15682.480469
2016-06-30,15752.709961000002,15781.69043,15575.919922,15575.919922
2016-06-29,15523.349609,15626.660156,15398.30957,15566.830078
2016-06-28,15094.709961000002,15443.820312,14987.790038999998,15323.139647999998
2016-06-27,15153.080078,15323.950195,15061.660156,15309.209961000002
2016-06-24,16333.870116999999,16389.169922,14864.009766,14952.019531
2016-06-23,16098.610352000002,16263.870116999999,16057.860352000002,16238.349609
2016-06-22,16095.80957,16160.990234,15980.650391,16065.719727000002
2016-06-21,15875.80957,16202.299805,15770.959961000002,16169.110352000002
2016-06-20,15839.05957,16035.44043,15835.860352000002,15965.299805
2016-06-17,15631.790038999998,15774.870116999999,15582.94043,15599.660156
2016-06-16,15871.219727000002,15913.080078,15395.980469,15434.139647999998
2016-06-15,15799.070312,15997.299805,15752.009766,15919.580078
2016-06-14,16001.19043,16082.5,15762.089844,15859.0
2016-06-13,16319.110352000002,16335.379883000001,16019.179688,16019.179688
2016-06-10,16637.509766,16643.359375,16496.109375,16601.359375
2016-06-09,16742.029297,16785.830078,16587.769531,16668.410156
2016-06-08,16722.490234,16830.919922,16581.710938,16830.919922
2016-06-07,16651.050781,16701.009766,16536.230469,16675.449219
2016-06-06,16373.320312,16581.300781,16322.639647999998,16580.029297
2016-06-03,16599.509766,16716.140625,16554.599609,16642.230469
2016-06-02,16817.259766,16819.849609,16525.470703,16562.550781
2016-06-01,17097.220703,17145.949219,16908.919922,16955.730469
2016-05-31,17029.460938,17251.359375,16988.640625,17234.980469
2016-05-30,16973.720703,17068.019531,16910.189453,17068.019531
2016-05-27,16830.5,16901.089844,16792.730469,16834.839844
2016-05-26,16927.689453,16957.560547,16743.169922,16772.460938
2016-05-25,16764.349609,16806.029297,16731.119141,16757.349609
2016-05-24,16605.039062,16605.039062,16471.369141,16498.759766
2016-05-23,16671.279297,16691.5,16417.839844,16654.599609
2016-05-20,16594.990234,16770.869141,16548.339844,16736.349609
2016-05-19,16807.460938,16841.039062,16590.160156,16646.660156
2016-05-18,16611.400391,16795.470703,16513.169922,16644.689453
2016-05-17,16618.949219,16655.890625,16509.310547,16652.800781
2016-05-16,16391.919922,16632.619141,16391.919922,16466.400391
2016-05-13,16804.169922,16804.169922,16400.869141,16412.210938
2016-05-12,16459.689453,16658.070312,16374.589844,16646.339844
2016-05-11,16736.720703,16814.640625,16536.609375,16579.009766
2016-05-10,16307.5,16587.630859,16229.150391,16565.189453
2016-05-09,16226.589844,16292.860352000002,16159.30957,16216.030272999998
2016-05-06,16212.669922,16271.610352000002,15989.349609,16106.719727000002
2016-05-02,16357.099609,16357.099609,15975.469727000002,16147.379883000001
2016-04-28,17438.990234,17572.269531,16652.740234,16666.050781
2016-04-27,17369.679688,17417.539062,17230.230469,17290.490234
2016-04-26,17358.560547,17426.019531,17200.5,17353.279297
2016-04-25,17613.560547,17613.560547,17403.580078,17439.300781
2016-04-22,17220.470703,17572.490234,17192.390625,17572.490234
2016-04-21,17187.269531,17381.699219,17144.529297,17363.619141
2016-04-20,17053.830078,17099.359375,16870.730469,16906.539062
2016-04-19,16582.660156,16900.330078,16570.5,16874.439453
2016-04-18,16521.25,16526.900391,16254.200195,16275.950195
2016-04-15,16720.390625,16928.669922,16720.390625,16848.029297
2016-04-14,16629.830078,16911.050781,16602.169922,16911.050781
2016-04-13,16142.709961000002,16405.589844,16132.230469,16381.219727000002
2016-04-12,15719.240234,15963.030272999998,15693.610352000002,15928.790038999998
2016-04-11,15761.570312,15778.740234,15525.490234,15751.129883000001
2016-04-08,15597.040038999998,16027.629883000001,15471.799805,15821.519531
2016-04-07,15739.259766,15871.099609,15636.209961000002,15749.839844
2016-04-06,15727.700195,15828.610352000002,15612.910156,15715.360352000002
2016-04-05,16044.230469,16066.179688,15698.549805,15732.820312
2016-04-04,16087.759766,16238.509766,16029.5,16123.269531
2016-04-01,16719.560547,16719.560547,16113.009766,16164.160156
2016-03-31,16997.140625,17033.650391,16758.669922,16758.669922
2016-03-30,17078.029297,17078.029297,16875.910156,16878.960938
2016-03-29,16985.279297,17137.199219,16948.429688,17103.529297
2016-03-28,17129.269531,17167.880859,16961.410156,17134.369141
2016-03-25,16949.529297,17026.140625,16889.400391,17002.75
2016-03-24,16979.390625,17041.160156,16843.990234,16892.330078
2016-03-23,17066.269531,17142.080078,16964.310547,17000.980469
2016-03-22,16937.310547,17107.800781,16851.210938,17048.550781
2016-03-18,16883.75,16920.910156,16613.689453,16724.810547
2016-03-17,17107.599609,17253.029297,16814.839844,16936.380859
2016-03-16,16981.359375,17102.449219,16950.839844,16974.449219
2016-03-15,17219.890625,17279.300781,17042.560547,17117.070312
2016-03-14,17155.519531,17291.349609,17149.210938,17233.75
2016-03-11,16610.179688,17015.300781,16575.75,16938.869141
2016-03-10,16811.0,16887.599609,16713.130859,16852.349609
2016-03-09,16625.589844,16706.25,16494.800781,16642.199219
2016-03-08,16889.480469,16909.789062,16570.220703,16783.150391
2016-03-07,17024.640625,17026.25,16894.580078,16911.320312
2016-03-04,16927.359375,17042.919922,16861.380859,17014.779297
2016-03-03,16695.779297,16962.949219,16691.939453,16960.160156
2016-03-02,16391.480469,16815.25,16388.919922,16746.550781
2016-03-01,16013.0,16099.419922,15857.370116999999,16085.509766
2016-02-29,16313.30957,16464.75,16026.759766,16026.759766
2016-02-26,16311.519531,16472.5,16188.410156,16188.410156
2016-02-25,15983.469727000002,16218.290038999998,15953.929688,16140.339844
